2025-11-04 00:23:32, Frame 251, Emotion: neutral, Stressed: False
2025-11-04 00:23:32, Frame 252, Emotion: neutral, Stressed: False
2025-11-04 00:23:32, Frame 253, Emotion: neutral, Stressed: False
2025-11-04 00:23:32, Frame 254, Emotion: neutral, Stressed: False
2025-11-04 00:23:32, Frame 255, Emotion: neutral, Stressed: False
2025-11-04 00:23:32, Frame 256, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 257, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 258, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 259, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 260, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 261, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 262, Emotion: neutral, Stressed: False
2025-11-04 00:23:33, Frame 263, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 264, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 265, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 266, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 267, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 268, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 269, Emotion: neutral, Stressed: False
2025-11-04 00:23:34, Frame 270, Emotion: angry, Stressed: True
2025-11-04 00:23:34, Frame 271, Emotion: neutral, Stressed: False
2025-11-04 00:23:35, Frame 272, Emotion: neutral, Stressed: False
2025-11-04 00:23:35, Frame 273, Emotion: neutral, Stressed: False
2025-11-04 00:23:35, Frame 274, Emotion: neutral, Stressed: False
2025-11-04 00:23:35, Frame 275, Emotion: neutral, Stressed: False
2025-11-04 00:23:35, Frame 276, Emotion: happy, Stressed: False
2025-11-04 00:23:35, Frame 277, Emotion: happy, Stressed: False
